Campaign,Ad Group,Ad ID,Final URL,Suspicious Mismatch
Google-Sa-Postman-Global,Postman on-prem - Global,812222901547,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Postman-Global,Postman on-prem - Global,812222901550,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Insomnia-Global,insomnia alternative,772434978173,https://apidog.com/compare/apidog-vs-insomnia/,
Google-Sa-Insomnia-Global,insomnia alternative,811537830912,https://apidog.com/compare/apidog-vs-insomnia/,
Google-Sa-Insomnia-Global,insomnia alternative,811537830915,https://apidog.com/compare/apidog-vs-insomnia/,
Google-Sa-Hoppscotch-Global,Hoppscotch--Global,772507375618,https://apidog.com/compare/apidog-vs-hoppscotch/,
Google-Sa-Hoppscotch-Global,Hoppscotch--Global,772592179091,https://apidog.com/compare/apidog-vs-hoppscotch/,
Google-Sa-Hoppscotch-Global,Hoppscotch-Team-Workflow-Global,806320730050,https://apidog.com/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},[hoppscotch not in URL]
Google-Sa-Hoppscotch-Global,Hoppscotch-Team-Workflow-Global,806320730053,https://apidog.com/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},[hoppscotch not in URL]
Google-Sa-Hoppscotch-Global,Hoppscotch-Team-Workflow-Global,811420520769,https://apidog.com/compare/apidog-vs-hoppscotch/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Hoppscotch-Global,Hoppscotch-alternative-Global,772592100140,https://apidog.com/compare/apidog-vs-hoppscotch/,
Google-Sa-Hoppscotch-Global,Hoppscotch-alternative-Global,772592100164,https://apidog.com/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},[hoppscotch not in URL]
Google-Sa-Hoppscotch-Global,Hoppscotch-alternative-Global,804389442206,https://apidog.com/compare/apidog-vs-hoppscotch/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Hoppscotch-Global,Hoppscotch-Features--Global,772507382857,https://apidog.com/api-doc/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},[hoppscotch not in URL]
Google-Sa-Hoppscotch-Global,Hoppscotch-Features--Global,772507387168,https://apidog.com/api-doc/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},[hoppscotch not in URL]
Google-Sa-Hoppscotch-Global,Hoppscotch-Features--Global,804389840534,https://apidog.com/compare/apidog-vs-hoppscotch/,
Google-Sa-Postman-Global,Postman Migration-Global,812209800153,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Postman-Global,Postman Migration-Global,812209800156,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Postman-Global,Postman Migration-Global,812209800159,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Swagger-Global,Swagger Docs-Global,772352227825,https://apidog.com/api-doc/,[swagger not in URL]
Google-Sa-Swagger-Global,Swagger Docs-Global,811555517922,https://apidog.com/api-doc/,[swagger not in URL]
Google-Sa-Swagger-Global,Swagger Docs-Global,811555517925,https://apidog.com/api-doc/,[swagger not in URL]
Google-Sa-Stoplight-Global,Stoplight Alternative--Global,778102204500,https://apidog.com/compare/apidog-vs-stoplight/,
Google-Sa-Stoplight-Global,Stoplight Alternative--Global,811555302684,https://apidog.com/compare/apidog-vs-stoplight/,
Google-Sa-Stoplight-Global,Stoplight Alternative--Global,811555302687,https://apidog.com/compare/apidog-vs-stoplight/,
Google-Sa-Function-Global,API Client,782947668185,https://apidog.com/api-debugging/,
Google-Sa-Function-Global,API Client,782947687418,https://apidog.com/api-debugging/,
Google-Sa-Function-Global,API Code-Global,804388755275,https://apidog.com/ai-powered-workflow/,
Google-Sa-Function-Global,API Code-Global,806320730551,https://apidog.com/ai-powered-workflow/,
Google-Sa-Function-Global,API Code-Global,811451119375,https://apidog.com/ai-powered-workflow/,
Google-Sa-Function-Global,API Naming Assistant,804276293454,https://apidog.com/,
Google-Sa-Postman-Global,Postman Pricing-Global,812194369377,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Postman-Global,Postman Pricing-Global,812222908027,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Postman-Global,Postman Pricing-Global,812222908030,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Swagger-Global,Swagger--Global,802224456949,https://apidog.com/api-doc/,[swagger not in URL]
Google-Sa-Swagger-Global,Swagger--Global,802224457141,https://apidog.com/api-doc/,[swagger not in URL]
Google-Sa-Swagger-Global,Swagger--Global,811420512156,https://apidog.com/api-doc/,[swagger not in URL]
